Resolution #,Title,Sponsoring District,Resolution,Staff Lead,Status,Actions,Notes
2024-01,Updating and Modernizing Administrative Requirements for WSCC Grant Programs,"Cascadia, Clark, Palouse","WACD shall work with WSCC to develop a permanent grant rule workgroup, assisted and facilitated by WACD no later than the start of July 1, 2025, that includes even and diverse representation of Districts throughout the State with the goal of modernizing, and improving grant rules and policies that works to prioritize efficiency, transparency and implementation of on-the-ground conservation practices.",Heather Wendt,Active,- Discuss with SCC whether they will accept a permanent grant rule workgroup,
2024-02,Conservation District Leadership Program,"Cascadia, Clark, Palouse, Okanogan","WACD shall work with WSCC, WADE, CTD and district supervisor and staff members to develop and implement a leadership program to help supervisors and district leadership staff learn their roles, responsibilities, duties, and leadership skills.",Heather Wendt,Active,,
2024-03,Conservation Reserve Program (CRP) Signature Requirements,Pend Oreille & Lincoln County,Change Section 16 USC 3832 to allow districts to submit a signature waiver opting out of signing the CRP conservation plans.  ,Doug Rushton,Active,,
2024-04,Increasing Access to WSCC Sustainable Farms and Fields,Cascadia,WACD shall work with WSCC and Conservation Districts to update the Sustainable Farms and Fields program to increase participation of the most relevant crop and farm types not being represented in the current program. ,Tom Salzer,Active,,
2024-05,Simplifying the WSCC Sustainable Farms and Fields Program,Cascadia,"WACD shall work with WSCC, Conservation Districts and the legislature to simplify the language within the budget provisos to create a singular, comprehensive Sustainable Farms and Fields program. ",Tom Salzer,Active,,
2024-06,Improving the USDA Forest Service Community Wildfire Defense Grant Scoring Process,Cascadia & Okanogan,"NACD supports working with the USDA Forest Service on improving their scoring criteria transparency for the Community Wildfire Defense Grant program and any subsequent, related programs.",Doug Rushton,Active,,
2024-07,Wildfire Insurance Policy Problem,Okanogan,WACD shall work with the Washington State Office of the Insurance Commissioner to seek a resolution to the issue of losing insurance to fire concerns. ,Ryan Baye,Active,,
2024-08,Support WSCC Budget Requests,Palouse,"WACD will work closely with all conservation districts statewide, WSCC and other partners, to fully support the WSCC budget requests (including but not limited to CTA, RCPP, VSP, NRI, SFF and WSCC Science Hub) through contacts with the Governor’s Office of Financial Management and Legislators. ",Ryan Baye,Active,,
2024-09,The Role of FSA and NRCS in Managing CREP and CRP,Whitman,"The NRCS shall be tasked with full management of the CREP, CRP, SAFE and other technical conservation programs retaining authority over both technical and financial segments of the program to ensure a streamlined and effective delivery of conservation services.

The FSA focus exclusively on its established role in administering non-technical financial programs such as loans, insurance claims, and farm certifications, thereby reducing redundancy and enhancing operational efficiency.

An inter-agency collaborative framework be established between the FSA and NRCS to facilitate ongoing communication, share insights, and ensure alignment of goals that supports agricultural sustainability and effective conservation outcomes. If a program already exists, this should be expanded upon. 

Regular assessments should be conducted to evaluate the effectiveness of this new structure, ensuring that it serves the best interests of landowners and the community, while securing our environmental resources for future generations.
",Doug Rushton,Active,,
2024-10,Salary for NRCS Engineers,Whitman,"The Natural Resources Conservation Service (NRCS) shall prioritize the allocation of funds to increase the salaries of its engineering staff in order to enhance retention rates and attract experienced professionals or allocate sufficient funds to outsource their engineering needs. This investment is essential to ensure that producers have access to qualified technical advice, thereby improving operational efficiency and productivity within the agricultural sector. By providing competitive salaries, we can cultivate a skilled workforce that is committed to serving the needs of producers, ultimately fostering a sustainable and thriving agricultural community.",Ryan Baye,Active,,
2024-11,Tribal Engagement Training,King,WACD will provide training to Conservation District staff and Board members on Government to Government relationships with Tribes. Trainings will be offered regularly and will be encouraged for all new staff and Board members.,Heather Wendt,Active,,
2024-12,Develop Workgroup to Identify Ongoing Funding for CTD,Underwood,"WACD, in collaboration with the Center for Technical Development (CTD), WSCC, WADE, and Conservation Districts, will develop a workgroup to identify ongoing, adequate funding support for the Center for Technical Development.  WACD will report the workgroup’s findings and recommendations no later than the annual conference in 2025.", Amy McKay,Active,,
2023-01,Improved Cost Share for virtual fence development,Foster Creek,"We recommend that WACD work directly with the WSCC and any other potential stakeholders within the virtual fencing sector look at existing funding sources to assess whether other funding options are available to sustain the collar subscription throughout the three-year life of the project and beyond. Furthermore, we recommend that WACD work directly with the WSCC, through applicable programs such as WSRRI, NRI, and others, explore opportunities to directly engage virtual fence vendors to discuss better funding scenarios that could help support the adoption and understanding of this technology within Washington State.    

Additionally, work towards the inclusion of this as a designated practice should be done to expand funding availability and provide more accessible funding sources with longer design life opportunities.   We support further development of this technology as an adopted standalone practice within the NRCS tech notes and as applicable within EQIP and other related producer programs.",Heather Wendt,Active,"- NRCS is working internally at the national office on a payment scenario specific to virtual fence.  It is expected to be out in a year or two. Until then virtual fencing can be covered under practice code 528.
- At their November 2024 State Technical Advisory Committee (STAC) meeting NRCS announced their new Virtual Fence Scenarios scaled based on herd size. By utilizing practice code 528, prescribed grazing, producers will be able to secure payments in years 2 - 5 helping to further differ the cost of the practice. The practice design life was also reduced.",
2023-02,WACD supports of the use of food-grade biochar as an additive to livestock feed to reduce methane production and greenhouse gas emissions and to improve soil and animal health,San Juan Islands,WACD supports the amendment of RCW 15.53.9013 and/or other relevant RCWs to allow regulated amounts and types of food quality biochar to be added to commercial livestock feed.,Ryan Baye,Active,WACD plans to work closely with originating CD and prepare a bill for the 2025 legislative session if sufficient support among legislators is found.,
2023-03,Reducing and Recycling Plastics in Agriculture and Natural Resources,Thurston,"WACD and WSCC work with the Washington Departments of Agriculture and Ecology to identify current programs for reducing and recycling agricultural and related plastics and develop a plan for coordination, expansion, and publicizing of programs, along with further needs and opportunities analysis and to seek alternatives to plastics.",Heather Wendt,Active,"This is expected to be a multi-year project. WACD’s preliminary goal is to identify and engage in existing partner agency initiatives. In July 2024, WACD staff were invited to sit on the Farm Waste Advisory Committee. The Committee is helping to inform an on-farm plastics recycling pilot project. The information obtained will be used to inform larger scale future efforts.",
2023-04,"Agricultural, forest, and rangeland mitigation",North Yakima,"WACD will develop a position statement for required mitigation for loss of agricultural land types and that WACD work with WSCC, WSDA, Conservation Districts and appropriate entities and partners work to develop guidance.  Guidance will then be championed by WACD and our partners to become law through legislative action(s).",Ryan Baye,Active,"WACD plans to convene partners to review GMA and existing protections, then develop mitigation language using other states as an example.
With the expectation of supporting expected political action in the 2025 legislative session.",
2023-05,Renewable Energy Position Statement,North Yakima,WACD will develop a task force that explores the topic of hydropower as a renewable resource and develops a position statement for consideration by the membership at the 2024 WACD annual meeting.,Heather Wendt,Active,"- The Renewable Energy Workgroup is fully operational and meeting regularly, and is gathering information from various entities.
- The Workgroup has produced a Position Statement Paper with several proposed resolutions for consideration by the membership at the 2024 WACD Annual Business Meeting.
- 7 Resolutions on Renewable Energy were passed at the WACD Annual Business Meeting.",
2023-06,Interest-free conservation agriculture equipment loan program,Palouse,"WACD will develop a task force to work closely with conservation districts statewide, SCC, NACD, FSA, and other partners, to identify funding and opportunities to develop a low interest or interest-free loan program for producers to purchase major agricultural equipment that supports use of no-till, direct seed, and other farming practices that build soil health and increase the resilience of cropping systems.",Doug Rushton,Active,"NACD adopted this resolution at their 2024 Annual Meeting.

WACD organized an Ag Loan Task Force, its first meeting will be May 28th",
2023-07,Carbon Conservation Stewardship Program,Palouse,"WACD will work closely with conservation districts statewide, SCC, NRCS, NACD, and other partners, to identify funding and opportunities to develop a Carbon CSP (Conservation Stewardship Program) and/or EQIP  opportunity program which may include the following components: 1) develop a conservation plan, 2) producers turn in a record of work completed that year to sequester carbon (based off of an eligible practices list), 3) planners run models to determine amount of carbon sequestered, 4) producers receive a payment based on carbon sequestered, 5) explore payments to producers who have already implemented practices, through NRCS or other entities.",Doug Rushton,Active,NACD adopted this resolution at their 2024 Annual Meeting.,
2023-08,Opposition to Removal or Breaching of the Four Lower Snake River Dams,Franklin,WACD opposes removal or breaching of the four Lower Snake River Dams.,Ryan Baye,Active,"Despite the recent federal agreement, WACD will maintain this position statement.",
2023-09,Solar and Wind Project Coordination with Local Authorities,North Central Area Association,Work with partners to encourage EFSEC not to bypass local authority when siting new solar and wind installations and ensure sufficient environmental and habitat studies can be done on the impact to shrub-steppe habitat.,Heather Wendt,Active,"- The Renewable Energy Workgroup is fully operational and meeting regularly, and is gathering information from various entities.
- The Workgroup has produced a Position Statement Paper with several proposed resolutions for consideration by the membership at the 2024 WACD Annual Business Meeting.
- 7 Resolutions on Renewable Energy were passed at the WACD Annual Business Meeting.",
2023-10,Improving Natural Resource Agency Management Plan Funding and Implementation.,Pacific,WACD will work with state agencies and the State Legislature to identify funding needs and opportunities to complete their management plans and implementation goals for acquired lands.,Ryan Baye,Active,WACD staff met with WDFW Land Stewardship Program staff to discuss the agency’s management plan priorities for the FY25-27 biennium.,
2023-11,Creation of Plant Materials Task Force,Grays Harbor,WACD shall create a task force including conservation districts to explore ways of providing additional native plants to conservation districts.,Heather Wendt,Active,"- The Plant Materials Task Force is fully operational and meeting regularly, and conducted a survey of CD native plant needs.
- The Task Force has developed a briefing paper with strategies for the WACD Board's consideration at their November 2024 Board Meeting.
- The Board approved moving forward with exploring the strategies proposed by the Taskforce.",
